element,integration_point,centroid_x,centroid_y,S11,S22,S12
129,1,0.233333334326744,0.16666667163372,101483686.2386657,415592.38927546516,311182.0208823556
130,1,0.216666668653488,0.183333337306976,102047307.73026276,2118417.6079073288,-299015.1703330669
131,1,0.283333341280619,0.16666667163372,101182610.46201435,-238552.3405990079,-18822.866155505963
132,1,0.26666667064031,0.183333337306976,101595400.35733086,449106.6248750128,-315097.5182149233
133,1,0.333333333333333,0.16666667163372,100843508.05497932,-434208.2743887603,-139517.97428658957
134,1,0.316666672627131,0.183333337306976,101124929.57618353,-255856.60634825006,-263303.0482381358
135,1,0.383333335320155,0.16666667163372,100558373.30970521,-421891.9744641818,-155497.36537642826
136,1,0.366666664679845,0.183333337306976,100734843.0028742,-466807.79002030194,-190915.7502493161
137,1,0.433333327372869,0.16666667163372,100347643.5411935,-335294.39877936244,-129611.87383178454
138,1,0.416666666666667,0.183333337306976,100448821.84046657,-454757.4152357727,-124689.03226318613
139,1,0.48333332935969,0.16666667163372,100204154.74490313,-238210.97904460505,-93848.81845939856
140,1,0.466666658719381,0.183333337306976,100256310.73637831,-362694.24022392184,-74376.11849645498
141,1,0.533333341280619,0.16666667163372,100112544.8049258,-156174.6502384618,-61845.757555404234
142,1,0.51666667064031,0.183333337306976,100135567.76279433,-258787.0736772418,-40417.843362597036
143,1,0.583333353201548,0.16666667163372,100057405.94003879,-95656.94684994966,-37725.313463857376
144,1,0.566666682561239,0.183333337306976,100064737.84827457,-170516.73723382875,-19544.7421374532
145,1,0.633333325386047,0.16666667163372,100026196.08908565,-54853.63186743483,-21343.93628983031
146,1,0.616666674613953,0.183333337306976,100026099.56887569,-105048.85819888115,-7803.8281380946955
147,1,0.683333317438761,0.16666667163372,100009775.93209633,-29259.692943878472,-11066.006666543533
148,1,0.666666646798452,0.183333337306976,100006879.18729398,-60648.70240493864,-1835.2309463587028
149,1,0.73333332935969,0.16666667163372,100001981.26100412,-14238.3081054613,-5061.592821668606
150,1,0.716666658719381,0.183333337306976,99998606.09827402,-32610.643090568483,793.5004673864174
151,1,0.783333341280619,0.16666667163372,99998912.23128028,-5977.517795167863,-1809.3593149489739
152,1,0.76666667064031,0.183333337306976,99996040.41249667,-16020.562657695264,1667.7182833231127
153,1,0.833333353201548,0.16666667163372,99998242.80964662,-1659.6657099761069,-216.3221341438772
154,1,0.816666682561239,0.183333337306976,99996142.7821325,-6808.352539502084,1735.2543474040203
155,1,0.883333325386047,0.16666667163372,99998660.16984423,704.2380657419562,417.9107017174491
156,1,0.866666674613953,0.183333337306976,99997250.9550942,-1957.22207570076,1513.8621975588032
157,1,0.933333317438761,0.16666667163372,99999450.86715694,2550.8752145804465,469.52593511891024
158,1,0.916666646798452,0.183333337306976,99998474.13842039,648.4286385886371,1244.688380188727
159,1,0.98333332935969,0.16666667163372,100000214.72700316,5068.842829074711,8.114242511076696
160,1,0.966666658719381,0.183333337306976,99999240.63425894,2487.8053451813757,965.2644475788927
161,1,0.0333333338300387,0.216666668653488,93588777.25884362,17414013.54691685,258796.58020595548
162,1,0.0166666669150194,0.233333334326744,97484226.2393649,29245267.871809468,-3975315.5545499125
163,1,0.0833333345750968,0.216666668653488,97310467.71757784,9979890.737595882,511484.6803946674
164,1,0.0666666676600774,0.233333334326744,100396189.43138632,19456237.198679663,-2870610.386570319
165,1,0.133333337803682,0.216666668653488,99930037.00695448,5032097.396387186,649999.404387131
166,1,0.116666669646899,0.233333334326744,101709642.35383426,11299643.128472809,-1516540.9116837524
167,1,0.183333337306976,0.216666668653488,101237163.59156322,2097616.9433270916,594802.5901441218
168,1,0.16666667163372,0.233333334326744,101987763.79448538,5649415.432646457,-563535.5193055068
169,1,0.233333334326744,0.216666668653488,101578042.55701722,554200.3637555093,445753.4435361212
170,1,0.216666668653488,0.233333334326744,101739984.74545103,2248463.2894934304,-53994.08720239927
171,1,0.283333341280619,0.216666668653488,101419060.57633853,-138692.64509939402,297720.40127627074
172,1,0.26666667064031,0.233333334326744,101312754.78744765,474614.03288463503,161220.26984689315
173,1,0.333333333333333,0.216666668653488,101090676.79098059,-370032.5570247136,186194.97874666608
174,1,0.316666672627131,0.233333334326744,100894751.42236406,-295985.3912917413,219008.3005655789
175,1,0.383333335320155,0.216666668653488,100760012.01099898,-382911.09627103806,111514.43832272627
176,1,0.366666664679845,0.233333334326744,100561817.8906229,-528690.2271320149,204122.62921035138
177,1,0.433333327372869,0.216666668653488,100491537.93851538,-312370.4217400104,64440.647885017686
