Elem,xc,yc,s11,s22,s12,e11,e22,g12
72,0.472222222222222,0.0666666666666667,99950955.1533121,-41815.2834468931,-222496.622911499,0.000476016665420696,-0.000142986199187812,-2.75472009318999e-06
73,0.527777777777778,0.0533333333333333,99869468.7851839,-58203.5264239758,-102568.177464887,0.000475652046871958,-0.000142947829342758,-1.26989172099384e-06
74,0.513888888888889,0.0666666666666667,99966277.4106969,-34021.3589502387,-136652.557285654,0.000476078494373248,-0.000142970974200759,-1.69188880448905e-06
75,0.569444444444445,0.0533333333333333,99929189.5184401,-35396.241341833,-62739.8347688108,0.000475903849480203,-0.000142924538556542,-7.76778906661467e-07
76,0.555555555555555,0.0666666666666667,99978066.2708745,-25624.2807168067,-79341.4207648533,0.000476122635976617,-0.000142947829342758,-9.82322352326755e-07
77,0.611111111111111,0.0533333333333333,99965424.0924203,-20331.225617893,-36203.5466868236,0.000476054873619551,-0.000142904564063543,-4.4823438755115e-07
78,0.597222222222222,0.0666666666666667,99986490.999229,-18205.7971051559,-42839.5622227624,0.000476152155896955,-0.000142924538556542,-5.30394579900868e-07
79,0.652777777777778,0.0533333333333333,99986117.7189004,-10845.1593863629,-19336.7069076551,0.000476139863174839,-0.000142888954643126,-2.39406847428111e-07
80,0.638888888888889,0.0666666666666667,99992165.2543073,-12308.877051793,-20725.1948551103,0.000476170751987728,-0.000142904564063543,-2.56597650587079e-07
81,0.694444444444445,0.0533333333333333,99997008.6882924,-5178.52372189239,-9132.90273583837,0.000476183629740043,-0.000142877529191474,-1.13074033872285e-07
82,0.680555555555555,0.0666666666666667,99995784.3722077,-7945.16339418665,-8089.00834726721,0.000476181752005838,-0.000142888954643126,-1.00149627156642e-07
83,0.736111111111111,0.0533333333333333,100002026.376187,-2002.55211175233,-3300.41576282122,0.00047620298638962,-0.000142869573642703,-4.08622903968342e-08
84,0.722222222222222,0.0666666666666667,99997964.6127722,-4891.7463779822,-1403.50461643624,0.000476187772079455,-0.000142877529191475,-1.73767238225439e-08
85,0.777777777777778,0.0533333333333333,100003734.858703,-365.015926610678,-201.623706472574,0.000476208782683242,-0.000142864216540654,-2.49629350870806e-09
